smiles,inchikey,cas,match,vp_mmHg,vp_source,vp_ref,bp_C,bp_source,mp_C,mp_source,logkow,logkow_source
Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,MNJVRJDLRVPLFE-UHFFFAOYSA-N,,,3.2797344276321006e-11,estimated,,529.919189453125,estimated,226.5743408203125,estimated,2.9056003,estimated
C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,LPQZKKCYTLCDGQ-WEDXCCLWSA-N,,,2.788231564097855e-10,estimated,,499.9419860839844,estimated,212.57138061523438,estimated,-1.7216997,estimated
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,XGALLCVXEZPNRQ-UHFFFAOYSA-N,,,5.05224028937576e-12,estimated,,555.8720703125,estimated,238.6974639892578,estimated,3.7152004,estimated
Clc1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1,JAUOIFJMECXRGI-UHFFFAOYSA-N,,,1.493088769600782e-08,estimated,,443.2932434082031,estimated,186.109619140625,estimated,4.6284,estimated
CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,FBOZXECLQNJBKD-ZDUSSCGKSA-N,060388-53-6,stereo-blind,1.5094088087890725e-17,estimated,,783.4588623046875,estimated,195.0,experimental,-1.85,experimental
CC1(C)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,FKENQMMABCRJMK-RITPCOANSA-N,,,1.11268739351379e-07,estimated,,414.2118835449219,estimated,172.52511596679688,estimated,0.4998002,estimated
CCCc1nc(C(C)(C)O)c(C(=O)OCc2oc(=O)oc2C)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,UQGKUQLKSCSZGY-UHFFFAOYSA-N,,,1.735184439525465e-27,estimated,,912.3607177734375,estimated,349.8399963378906,estimated,3.2935002,estimated
CC(C)(CO)[C@@H](O)C(=O)NCCCO,SNPLKNRPJHDVJA-ZETCQYMHSA-N,,,5.837741232237957e-10,estimated,,411.0353698730469,estimated,161.4013214111328,estimated,-1.9222,estimated
CN=C(N)NCCC[C@H](N)C(=O)O,NTNWOCRCBQPEKQ-YFKPBYRVSA-N,,,2.4983661544680826e-09,estimated,,420.9192199707031,estimated,295.408203125,estimated,-3.4568,estimated
CN(C)C(=O)Oc1ccc[n+](C)c1.[I-],UQAPNCDQRWJKSA-UHFFFAOYSA-M,,,0.00015928548533732356,estimated,,320.8724060058594,estimated,87.83367156982422,estimated,-3.7266998,estimated
CN(C)C=C1C=CC=C1,UJXXVGXQTXQALL-UHFFFAOYSA-N,,,1.9973198947732942,estimated,,164.84762573242188,estimated,-25.57867431640625,estimated,1.7928998,estimated
C#CCN(CCC)CCC,ATTMKPWGJILFFV-UHFFFAOYSA-N,,,1.4557162746251862,estimated,,171.4808349609375,estimated,-8.032135009765625,estimated,2.2136,estimated
CCCCCC=CCCCCCC,QHOMPCGOCNNMFK-UHFFFAOYSA-N,024949-38-0,exact,0.11677804862921681,estimated,,230.63821411132812,estimated,-10.481109619140625,estimated,6.5106997,estimated
O=C1CCCCCCCCCCCCCCCCC1,WXAYGJXNCLBUDJ-UHFFFAOYSA-N,,,4.9297808961897306e-05,estimated,,365.2334289550781,estimated,67.69447326660156,estimated,7.0191007,estimated
Cc1cc(C)c(N(C)C)c(C)c1,JZBZLRKFJWQZHU-UHFFFAOYSA-N,013021-15-3,exact,0.15321533474551519,estimated,,214.0,experimental,28.5543212890625,estimated,4.41,experimental
CSc1ccco1,QNQUVXCNWQTHHY-UHFFFAOYSA-N,000098-02-2,exact,2.8923427470320897,estimated,,157.0,experimental,-31.148651123046875,estimated,1.9635,estimated
C[S+](C)CC[C@H](N)C(=O)O,YDBYJHTYSHBBAU-YFKPBYRVSA-O,,,3.5890179284960026e-07,estimated,,372.7601623535156,estimated,214.91574096679688,estimated,-1.5170999,estimated
CN(C)CCC[C@@]1(c2ccc(F)cc2)OCc2cc(C#N)ccc21.O=C(O)C(=O)O,KTGRHKOEFSJQNS-BDQAORGHSA-N,,,,,,,,,,,
Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1,YCOYDOIWSSHVCK-UHFFFAOYSA-N,,,1.165070481278837e-11,estimated,,544.3065185546875,estimated,233.29495239257812,estimated,4.9821997,estimated
COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,FABPRXSRWADJSP-MEDUHNTESA-N,151096-09-2,exact,7.26e-15,estimated,EPI SUITE v4.10:,623.6263427734375,estimated,205.5,experimental,0.95,estimated
COc1ccc2[nH]c3c(C)c4ccnc(NCCN)c4cc3c2c1,DDCKUULCSVIYPY-UHFFFAOYSA-N,,,3.918799016641888e-11,estimated,,527.4375,estimated,225.4150848388672,estimated,3.3010998,estimated
CC(=O)NCCCS(=O)(=O)[O-].CC(=O)NCCCS(=O)(=O)[O-].[Ca+2],BUVGWDNTAWHSKI-UHFFFAOYSA-L,,,,,,,,,,,
