smiles,inchikey,dtxsid,match,vp_mmHg,vp_source,bp_C,bp_source,logp,logp_source
Cc1ccncc1,FKNQCJSGGFJEIZ-UHFFFAOYSA-N,DTXSID4021892,exact,5.7543993733715695,experimental,145.0,experimental,1.22,experimental
CCCCCCCCCCCCCCCCCC(=O)OCC(C)O,FKOKUHFZNIUSLW-UHFFFAOYSA-N,,,,,,,,
CCOC(=O)CC,FKRCODPIKNYEAC-UHFFFAOYSA-N,DTXSID1040110,exact,33.884415613920254,predicted,101.0,predicted,1.21,experimental
CCC(=O)OCCOc1ccccc1,FKTSMIXZGPUSJB-UHFFFAOYSA-N,DTXSID9047203,exact,0.0013803842646028853,predicted,267.0,predicted,2.41,predicted
O=C1CCCCCCCCCCCCCCO1,FKUPPRZPSYCDRS-UHFFFAOYSA-N,DTXSID6044359,exact,6.9183097091893625e-06,predicted,311.0,predicted,5.78,predicted
CC/C=C\CCOC(=O)/C=C/c1ccccc1,FKWGVMQNGUQXDN-FECXASIGSA-N,DTXSID90867482,stereo-blind,0.001445439770745928,predicted,303.0,predicted,3.42,predicted
CC/C=C/CCOC(=O)/C=C/c1ccccc1,FKWGVMQNGUQXDN-NEVCXRMESA-N,DTXSID90867482,stereo-blind,0.001445439770745928,predicted,303.0,predicted,3.42,predicted
CC/C=C\CCOC(=O)C=Cc1ccccc1,FKWGVMQNGUQXDN-QXHUJUBQSA-N,DTXSID60887177,exact,,,,,,
OC1CC2CC1C1CCCC21,FKZJBAXKHJIQDU-UHFFFAOYSA-N,,,,,,,,
CCCCCC(OCCC(C)C)OCCC(C)C,FKZZUTUSBAOONH-UHFFFAOYSA-N,DTXSID30869142,exact,0.0013489628825916532,predicted,285.0,predicted,6.15,predicted
CCC(C)C1N=C(C)C(C)S1,FLBOQJFNAYJWIA-UHFFFAOYSA-N,,,,,,,,
CC(C)(C)OC(=O)CCCCCCCCC(=O)OC(C)(C)C,FLCKGDKAOZWNLX-UHFFFAOYSA-N,DTXSID20550375,exact,2.39883291901949e-05,predicted,330.0,predicted,5.77,predicted
CCCCCc1nc(C)cs1,FLCKZQLXJGGADB-UHFFFAOYSA-N,DTXSID101312728,exact,0.06760829753919818,predicted,203.0,predicted,2.82,predicted
Cc1c(Cl)c(C)c([N+](=O)[O-])c(C(C)(C)C)c1[N+](=O)[O-],FLGCGCPELSLNRW-UHFFFAOYSA-N,,,,,,,,
CCCCCCCCCCCCCCCC(=O)OC,FLIACVVOZYBSBS-UHFFFAOYSA-N,DTXSID4029149,exact,4.677351412871981e-05,experimental,292.0,predicted,7.38,experimental
O=S(=O)([O-])[O-].[Cs+].[Cs+],FLJPGEWQYJVDPF-UHFFFAOYSA-L,DTXSID10883109,exact,,,,,,
O=CCS,FLJWVVUJGVNXMZ-UHFFFAOYSA-N,DTXSID10194161,exact,14.791083881682072,predicted,126.0,predicted,0.42,predicted
CCOC(=O)c1ccccc1C(=O)OCC,FLKPEMZONWLCSK-UHFFFAOYSA-N,DTXSID7021780,exact,0.0020892961308540386,experimental,300.0,predicted,2.44,predicted
CCCCCCCCC1=NCCN1CCO,FLLNQHCNHPZJOY-UHFFFAOYSA-N,DTXSID3067108,exact,2.187761623949552e-05,predicted,309.0,predicted,2.39,predicted
CC(C)C1C=C2CCC3C(C)(CO)CCCC3(C)C2CC1,FLMIYUXOBAUKJM-UHFFFAOYSA-N,,,,,,,,
CC1(C)[C@H]2CC[C@]1(C)[C@H](OC(=O)c1ccccc1)C2,FLOISDYCXINJOB-JJRVBVJISA-N,,,,,,,,
CC1(C)C2CCC1(C)C(OC(=O)c1ccccc1)C2,FLOISDYCXINJOB-UHFFFAOYSA-N,,,,,,,,
CC1=C(C=CC=O)C(C)(C)CCC1,FLOPAOUVAMIAJN-UHFFFAOYSA-N,DTXSID601236761,exact,0.06918309709189366,predicted,241.0,predicted,3.44,predicted
CC(=O)c1oc(C)c2ccccc12,FLPASHJXPQHBGD-UHFFFAOYSA-N,,,,,,,,
CCCCC(=O)OC/C=C/c1ccccc1,FLSKWIBFXUNBAW-JXMROGBWSA-N,DTXSID60864281,stereo-blind,,,,,,
CCCCC(=O)OCC=Cc1ccccc1,FLSKWIBFXUNBAW-UHFFFAOYSA-N,DTXSID60864281,exact,,,,,,
CCCCCCCC(COC(C)=O)OC(C)=O,FLTHTXOHIZKWMR-UHFFFAOYSA-N,,,,,,,,
CCCCC(C)(C)C,FLTJDUOFAQWHDF-UHFFFAOYSA-N,DTXSID9073200,exact,33.11311214825911,predicted,112.0,predicted,4.54,predicted
CC(=O)OC(C)(C)Cc1ccccc1,FLUWAIIVLCVEKF-UHFFFAOYSA-N,DTXSID3041877,exact,0.017378008287493755,predicted,250.0,predicted,3.47,predicted
CCOC(CC)OCC(C)C,FLXQOLCTCZGMFH-UHFFFAOYSA-N,DTXSID90601525,exact,4.786300923226384,predicted,168.0,predicted,2.09,predicted
CC(O)COC(=O)OC1CC(C)CCC1C(C)C,FLYJSXDJKBHQAU-UHFFFAOYSA-N,,,,,,,,
C/C=C/C(=O)CCCC,FMDLEUPBHMCPQV-GQCTYLIASA-N,DTXSID3047134,stereo-blind,1.096478196143185,predicted,194.0,predicted,2.57,predicted
CC(=O)O/C=C/c1ccccc1,FMFHUEMLVAIBFI-BQYQJAHWSA-N,DTXSID9051535,stereo-blind,0.008912509381337459,predicted,256.0,predicted,2.14,predicted
CC(=O)O/C=C\c1ccccc1,FMFHUEMLVAIBFI-FPLPWBNLSA-N,DTXSID9051535,stereo-blind,0.008912509381337459,predicted,256.0,predicted,2.14,predicted
CC(=O)OC=Cc1ccccc1,FMFHUEMLVAIBFI-UHFFFAOYSA-N,DTXSID9051535,exact,0.008912509381337459,predicted,256.0,predicted,2.14,predicted
CCCC(=O)OCCCCC(C)C,FMJIXUVYENOFKI-UHFFFAOYSA-N,,,,,,,,
CCC(=O)OCC1CCCO1,FMKCDSXOYLTWBR-UHFFFAOYSA-N,,,,,,,,
COC(=O)c1ccccc1N=CC(C)Cc1ccc2c(c1)OCO2,FMKWHJXRMHLTPO-UHFFFAOYSA-N,,,,,,,,
CCCCC/C=C\C/C=C\CCCCCCCC(=O)OCC,FMMOOAYVCKXGMF-MURFETPASA-N,DTXSID1060269,exact,5.011872336272725e-06,predicted,355.0,predicted,7.25,predicted
c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,FMMWHPNWAFZXNH-UHFFFAOYSA-N,DTXSID2020139,exact,5.495408738576248e-09,experimental,495.0,experimental,6.13,experimental
CC(C)OCCc1ccccc1,FMPXLXBVYDFXIC-UHFFFAOYSA-N,DTXSID5052389,exact,0.4786300923226383,predicted,219.0,predicted,2.92,predicted
CCCC[C@H](CC)COC(=O)c1ccccc1O,FMRHJJZUHUTGKE-LBPRGKRZSA-N,,,,,,,,
CCCCC(CC)COC(=O)c1ccccc1O,FMRHJJZUHUTGKE-UHFFFAOYSA-N,,,,,,,,
O=C([O-])[O-].[Zn+2],FMRLDPWIRHBCCC-UHFFFAOYSA-L,DTXSID5049817,exact,0.010471285480508996,predicted,299.0,predicted,-1.51,predicted
CCCCOC(=O)C(C)CCC,FMVUGLMJUHFPSJ-UHFFFAOYSA-N,,,,,,,,
CCCC(C=O)=Cc1ccccc1,FMWHWCCEBSGQQV-UHFFFAOYSA-N,,,,,,,,
CCCOC(C)OCCc1ccccc1,FMYCPRQGKSONCP-UHFFFAOYSA-N,,,,,,,,
O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-].[Ca+2].[Ca+2].[Ca+2],FNAQSUUGMSOBHW-UHFFFAOYSA-H,DTXSID7061148,exact,1.6595869074375597e-08,predicted,318.0,predicted,-2.15,predicted
CCCCCCCCCCCCCCCCCCCCC,FNAZRRHPUDJQCJ-UHFFFAOYSA-N,DTXSID9047097,exact,8.51138038202376e-05,predicted,357.0,experimental,9.44,predicted
C=CC(C)C1C=CCC(C=O)C1,FNCBZNPKGOLPBR-UHFFFAOYSA-N,,,,,,,,
CCOC(=O)C(C)C(C)=O,FNENWZWNOPCZGK-UHFFFAOYSA-N,,,,,,,,
CCOc1cc(COC)ccc1O,FNEWGEWRECZWQM-UHFFFAOYSA-N,DTXSID6074918,exact,1.1748975549395302e-05,predicted,270.0,predicted,1.65,predicted
CSCC(C=O)=CC(C)C,FNHVKVSDWQLOEU-UHFFFAOYSA-N,,,,,,,,
CSC/C(C=O)=C/C(C)C,FNHVKVSDWQLOEU-XBXARRHUSA-N,DTXSID10193856,exact,0.8511380382023764,predicted,227.0,predicted,3.01,predicted
CCOC(=O)c1ccccc1OC,FNODWEPAWIJGPM-UHFFFAOYSA-N,DTXSID9047126,exact,0.0028840315031266055,predicted,264.0,predicted,2.33,predicted
Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,FNYLWPVRPXGIIP-UHFFFAOYSA-N,DTXSID6021373,exact,3.890451449942805e-09,predicted,321.0,predicted,0.98,experimental
CCC(C(C)=O)c1ccc(OC)cc1,FOADYYCVQKJOTC-UHFFFAOYSA-N,,,,,,,,
CCCCc1ncsc1C,FOBITDGBIATDTQ-UHFFFAOYSA-N,DTXSID6069165,exact,0.5370317963702527,predicted,202.0,predicted,3.16,predicted
O=C(O)CCl,FOCAUTSVDIKZOP-UHFFFAOYSA-N,DTXSID4020901,exact,0.06606934480075961,predicted,189.0,experimental,0.22,experimental
CC(C)CC(=O)OC/C=C/c1ccccc1,FOCMOGKCPPTERB-RMKNXTFCSA-N,DTXSID7059694,stereo-blind,0.008912509381337459,predicted,274.0,predicted,3.45,predicted
CC(C)CC(=O)OCC=Cc1ccccc1,FOCMOGKCPPTERB-UHFFFAOYSA-N,DTXSID7059694,exact,0.008912509381337459,predicted,274.0,predicted,3.45,predicted
S=P(N1CC1)(N1CC1)N1CC1,FOCVUCIESVLUNU-UHFFFAOYSA-N,DTXSID0021339,exact,0.004073802778041126,predicted,229.0,predicted,0.53,experimental
COC(=O)c1ccccc1N=CCC(C)CCC=C(C)C,FOIQCUQRLOGHEZ-UHFFFAOYSA-N,,,,,,,,
CCCCC(=O)OCC(C)CC,FOJKZJAPKUOYKR-UHFFFAOYSA-N,,,,,,,,
CCCCCCCCC1CN=C(c2ccccc2)O1,FOMHTRAPIIAEQS-UHFFFAOYSA-N,DTXSID10341830,exact,1.0964781961431852e-05,predicted,304.0,predicted,3.67,predicted
CSc1nnc(C(C)(C)C)c(=O)n1N,FOXFZRUHNHCZPX-UHFFFAOYSA-N,DTXSID6024204,exact,4.3651583224016567e-07,experimental,300.0,predicted,1.7,experimental
CCOC(=O)CC(C)S,FPBCNQQYLDBWMH-UHFFFAOYSA-N,,,,,,,,
CC(C)CCOC(=O)c1ccco1,FPBZWZKAUPNMMV-UHFFFAOYSA-N,DTXSID20210467,exact,0.09772372209558107,predicted,216.0,predicted,2.59,predicted
CC(CCO)CCCC(C)(C)O,FPCCDPXRNNVUOM-UHFFFAOYSA-N,,,,,,,,
CCCCCOC(=O)c1ccccc1C(=O)[O-],FPGPRAKRYDSZAW-UHFFFAOYSA-M,DTXSID60179281,stereo-blind,2.3442288153199226e-06,predicted,314.0,predicted,3.2,predicted
F[Pb]F,FPHIOHCCQGUGKU-UHFFFAOYSA-L,DTXSID901014471,exact,,,,,,
NCCCCNCCCNCC(=O)NC(=O)C[C@@H](O)[C@@H](N)CCC[C@@H](NC(=O)[C@H](CN)N(C(=O)C[C@H](N)O)C(=O)[C@H](CN)c1ccccc1)C(=O)O,FPJBIRIVZPUIOL-DDURVGIBSA-N,DTXSID30193636,exact,1.148153621496884e-09,predicted,311.0,predicted,0.97,predicted
CCCCCCCCCCCCCCCCCCCCCCCO,FPLNRAYTBIFSFW-UHFFFAOYSA-N,DTXSID00185260,exact,1.2882495516931348e-07,predicted,354.0,predicted,9.4,predicted
C=C(C)C=COC(=O)c1ccccc1,FPPJEKYDJIRFMQ-UHFFFAOYSA-N,,,,,,,,
C=C(C)C=COC(=O)CCCCC,FPPKZJROIYQEBP-UHFFFAOYSA-N,,,,,,,,
O=COCc1ccco1,FPRQARNPKWVCNI-UHFFFAOYSA-N,DTXSID30878890,exact,0.40738027780411273,predicted,176.0,predicted,1.26,predicted
O=C1C=CC(=O)O1,FPYJFEHAWHCUMM-UHFFFAOYSA-N,DTXSID7024166,exact,0.24547089156850305,predicted,202.0,experimental,-0.42,predicted
O=Cc1ccccc1Cl,FPYUJUBAXZAQNL-UHFFFAOYSA-N,DTXSID5024764,exact,0.2290867652767773,experimental,213.0,predicted,2.33,experimental
CCOCCOCCOC(C)=O,FPZWZCWUIYYYBU-UHFFFAOYSA-N,DTXSID6026905,exact,0.1,experimental,218.0,predicted,0.45,predicted
CCCC[Si](Cl)(Cl)Cl,FQEKAFQSVPLXON-UHFFFAOYSA-N,DTXSID7064730,exact,20.417379446695296,predicted,149.0,experimental,2.93,predicted
O=P([O-])([O-])OP(=O)([O-])[O-].[Na+].[Na+].[Na+].[Na+],FQENQNTWSFEDLI-UHFFFAOYSA-J,DTXSID9042465,exact,,,,,,
N#C[Hg]C#N,FQGYCXFLEQVDJQ-UHFFFAOYSA-N,DTXSID3060457,exact,,,,,,
CC(C)=CCCC(C)=CCOC=O,FQMZVFJYMPNUCT-UHFFFAOYSA-N,DTXSID5047615,exact,0.0588843655355589,predicted,221.0,predicted,3.77,predicted
