smiles,cramer,ames_alert,ames_sa,gradient
COP(=S)(OC)SCC(=O)N(C)C=O,III,0,,II
Cc1nc2c(nc1C)CCC2,III,0,,none
CCOC1=C(C)OC(C)C1=O,II,1,SA10_Ames,none
C1CSSSS1,I,0,,none
CCCCCCC(C)CC=O,I,1,SA11_Ames,none
COc1ccc(C2CC(=O)c3c(O)cc(O)cc3O2)cc1O,II,0,,none
CCOC(=O)C(O)(c1ccccc1)c1ccccc1,III,0,,none
CCC=CCCOC(=O)CC(C)C,I,0,,none
CC/C=C\CCOC(=O)CC(C)C,I,0,,none
CC1=CCCC(C)(C)C1/C=C\C(C)C=O,I,1,SA11_Ames,none
CCCCCCCCCCCCCC(=O)OCCC(C)C,I,0,,none
CCCCCCCCCCCCCCCCCCCCC(C)C,I,0,,none
CCCCC/C=C/C(=O)OCC,I,0,,none
CCCCC/C=C\C(=O)OCC,I,0,,none
CCCCCC=CC(=O)OCC,I,0,,none
CCCCCCCCC[C@H](O)CC(=O)CCc1ccc(O)c(OC)c1,II,0,,none
CC1=NC(C)SC1C,II,0,,none
C[N+](C)(C)CCOC(N)=O.[Cl-],III,1,SA16_Ames,III
FC(F)(Cl)C(F)(Cl)Cl,III,0,,I
O=C(Nc1ccc2c(c1)C(O)OC21c2ccc(O)cc2Oc2cc(O)ccc21)c1c(F)c(F)c(F)c(F)c1F,III,1,SA18_Ames,III
CC(=O)c1ccccn1,II,0,,none
CC1CCCS1,II,0,,none
O=P([O-])(O)O.[Na+],III,0,,none
C=C/C=C/C=C\CCC(=O)CC,III,0,,none
CCCCCCCCCCCC(OC)OC,I,0,,none
CC1(C)[C@@H]2CC[C@](C)(C2)[C@@]1(C)O,I,0,,none
CC12CCC(C1)C(C)(C)C2(C)O,I,0,,none
CCCCCC=COC(=O)CC(C)C,III,1,SA24_Ames,none
CN1C(=O)CC(C)(c2ccccc2)C1=O,II,0,,II
CC1OC1(C)C=CC1OC1(C)C,III,1,SA7_Ames,none
CC(C)=C1CCC2(C)OC2C1=O,III,1,SA10_Ames;SA7_Ames,none
Nc1ccccc1Cl,III,1,SA28_Ames,III
CCCCCC(=O)SC,III,0,,none
CC(=O)CCc1ccccc1,I,0,,none
C=C(CCCCCCC)C(C)O,II,0,,none
CC(=O)OC1CCCCC1C,I,0,,none
CCCCCCCCCCOC(=O)Cc1ccccc1,I,0,,none
C=CCCCCCCCC=O,I,1,SA11_Ames,none
COc1ccc2c(c1OC)C(=O)O[C@@H]2[C@H]1c2c(cc3c(c2OC)OCO3)CCN1C,III,0,,II
COc1ccc2c(c1OC)C(=O)O[C@H]2[C@H]1c2c(cc3c(c2OC)OCO3)CCN1C,III,0,,II
COc1ccc2c(c1OC)C(=O)OC2C1c2c(cc3c(c2OC)OCO3)CCN1C,III,0,,II
COc1cc(COC(=O)c2ccc(O)c(OC)c2)ccc1O,I,0,,none
CCC/C=C(\C)C(=O)O,I,0,,none
COC(C)=[Cr],III,0,,none
CCOC(=O)CCCSC(C)=O,I,0,,none
CCC1(O)C2(C)CCCC1(C)CC2,I,0,,none
C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12.O=S(=O)(O)O,III,0,,II
C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12.O=S(=O)(O)O,III,0,,II
CC(CCCC(C)(C)O)CC1OCC(C)O1,I,0,,none
Clc1ccc(-c2cccc(Cl)c2Cl)c(Cl)c1,III,0,,III
Cc1cnc2ccccc2n1,III,0,,none
C[C@@H]1CCCCCCCCCCCCC(=O)C1,II,0,,none
CC1CCCCCCCCCCCCC(=O)C1,II,0,,none
CCCCCC(C#N)=C1CCC(C)CC1,III,0,,none
C=CC(C)(CCC=C(C)C)OC(=O)CCCCC,I,0,,none
COC(=O)CCCCCCCCC(=O)OC,I,0,,none
CCCC(=O)OC1CC2(C)CC[C@@H]1C2(C)C,I,0,,none
O=C=Nc1ccc(N=C=O)cc1,III,1,SA15_Ames;SA28_Ames;ar-N=CH2,none
CCCCCCCC(=O)Oc1ccc(C)cc1,I,0,,none
CCCCCCCC/C=C\CCCCCCCCO,I,0,,none
CCCCCCCC/C=C/CCCCCCCCO,I,0,,none
CC1COC(C)(C)O1,I,0,,none
C[C@H]1COC(C)(C)O1,I,0,,none
CCCCC=COC(=O)c1ccccc1,III,1,SA24_Ames,none
COc1ccc(OC)c(C(C)(C)C)c1,I,0,,none
CCCSSCCC,III,0,,none
CCCCCCC1(C)CCC(=O)O1,I,0,,none
CC1=CC(C)C(C(=O)C(C)(C)C)CC1,I,0,,none
Nc1ccc(C(=O)O)cc1,III,1,SA28_Ames,III
CCOC(OCC)C(C)c1ccccc1,I,0,,none
S=C([S-])NCCNC(=S)[S-].[Zn+2],III,0,,III
O=COCCCc1ccccc1,I,0,,none
[O-][n+]1c2c(c(-c3ccncc3)c3c1CCCC3)CCCC2,III,1,SA26_Ames,none
CC(C)C=O,I,1,SA11_Ames,none
CCCCCCCCCC=CCOC(C)=O,I,0,,none
CCCCCCCCC/C=C/COC(C)=O,I,0,,none
CC1(C)CCC(COC=O)C23C4CC(CC412)C3(C)C,II,0,,none
CCCCCO,I,0,,none
CCCCCCC(OCCCC)OCCCC,I,0,,none
CCCC/C=C\CCCCCCCCCC=O,I,1,SA11_Ames,none
Cc1ccccc1-c1nc2ccccc2s1,III,0,,none
CC(=O)SC(C)(C)[C@@H]1CC[C@@H](C)CC1=O,III,0,,none
CC(=O)SC(C)(C)C1CCC(C)CC1=O,III,0,,none
CC/C=C/CC/C=C/CO,I,0,,none
CC/C=C\CC/C=C/CO,I,0,,none
CCC=CCCC=CCO,I,0,,none
Cc1ccc(OC(=O)c2ccccc2O)cc1,I,0,,none
CC(=O)Oc1ccccc1C,I,0,,none
CC1CC(C)(C)CC(=O)O1,I,0,,none
CCCCCC1=C(C)CCCC1=O,II,1,SA10_Ames,none
CCOC(=O)/C=C(\CC(=O)O)C(=O)O,III,0,,none
CCOC(=O)C=C(CC(=O)[O-])C(=O)[O-],III,0,,none
C=CC(=O)OCCCCCCCC,I,0,,none
CC/C=C\CCOC(=O)C#CCCCCC,III,0,,none
CCCC(=O)OC(C)Cc1ccccc1,I,0,,none
